countyFIPS,County Name,State,stateFIPS,mean_age,Cluster,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,total weeks,CasesMay13,DeathMay13,pop2019,total_male,total_female,ProMBlack,ProFBlack,ProMWhite,ProFWhite,XSmokers,XUninsured,Unemployed,Income_Rt,XAsian,Ischemic,Cerebrovas,Hypertensi,Cardiomyop,Atrial,Peripheral,Alcohol_di,Drug_disor,Tuberculos,HIV_AIDS,LRI,Hepatitis,COPD,Asthma,Interstiti,Pancreatic,Tracheal,Mesothelio,Leukemia,Cardiovasc,Rheumatic,AVG_AQI,AVG_PM,tavg
1001,Autauga County,AL,1,39.65208792,5,0,0,0.083333333,0.04,0.03125,0.071428571,0.051724138,0.043010753,0.022058824,0.015625,0.020920502,0.320746795,93,4,55869,26995,28606,0.190887201,0.201426274,0.772698648,0.762112843,19,9,5.3,4.4,1.1,201.3,58.01,10.12,8.42,9.09,2.94,1.45,7.32,0.31,2.001,34.15,2.001,73.41,1.07,5.72,13.77,78.62,0.68,10.14,316.36,6.39,37.3599,9.35307,54.9565
1003,Baldwin County,AL,1,42.48579965,5,0,0,0,0,0.015151515,0.011560694,0.025510204,0.03030303,0.02962963,0.03202847,0.030821918,0.082525443,231,7,223234,105657,112365,0.088967129,0.089814444,0.875199939,0.870644774,17,12,5.4,4.6,1.1,164.85,55.05,11,8.4,9.17,2.53,2.53,13.3,0.2,1.81,21.82,0.21,45.27,0.94,6.34,12.38,58.78,1.05,9.22,272.04,3.97,38.8613,9.88868,54.2094
1005,Barbour County,AL,1,41.46955764,5,0,0,0,0,0,0.027027027,0.021276596,0.014492754,0.010416667,0.007692308,0.005649718,0.062796376,69,1,24686,13133,11748,0.485037691,0.482805584,0.488083454,0.493615935,22,13,8.6,5.9,0.5,140.82,53.42,10.42,14.65,7.22,3.14,2.72,5.4,0.42,4.03,33.95,0.2,60.07,1.63,6.47,15.5,83.52,0.58,10.36,255.09,4.69,34.6925,8.71276,52.0925
1007,Bibb County,AL,1,40.57414933,5,0,0,0,0,0,0,0,0.02173913,0.019230769,0.014084507,0.013157895,0.02173913,46,1,22394,11921,10479,0.247798004,0.173298979,0.735005453,0.806279225,20,12,6.6,4.2,0.2,217.48,99.82,12.83,6.99,8.5,3.12,1.22,13.03,0.26,1.24,41.3,0.2,75.08,1.31,5.55,15.02,84.04,0.76,10.86,378.09,5.84,33.0459,8.12562,54.5402
1009,Blount County,AL,1,40.80612527,5,0,0,0,0,0,0,0,0,0.021276596,0.018867925,0.015873016,0,45,0,57826,28500,29340,0.017789474,0.015098841,0.958140351,0.959406953,20,14,5.5,4.1,0.3,197.46,57.27,6.13,5.72,10.34,2.12,1.31,14.38,0.26,1.05,54.02,0.21,78.32,1.09,5.26,12.92,74.95,0.81,10.14,307.9,5.61,31.5848,7.73696,48.7821
1011,Bullock County,AL,1,40.45045045,5,0,0,0,0,0,0,0.055555556,0.035714286,0.015625,0.017045455,0.027906977,0.091269841,28,1,10101,5527,4611,0.678306495,0.741487747,0.292201918,0.22684884,23,15,7.2,6,0.3,205.93,54.1,12.2,14.11,6.52,3.6,3.05,5.63,0.58,3.87,30.74,0.22,41.85,2.05,5.58,15.49,60.73,0.4,9.1,322.56,5.98,36.4088,9.15808,52.8036
1013,Butler County,AL,1,42.04686857,5,0,0,0,0,0,0.019607843,0.015384615,0.026086957,0.03525641,0.033248082,0.042959427,0.061079415,230,6,19448,9165,10515,0.432296781,0.4638136,0.534533552,0.512030433,22,12,7.1,5.1,1.1,248.51,70.27,16.03,10.43,8.24,2.86,1.61,6.45,0.42,3.26,36.84,0.23,65.89,1.74,5.4,15.59,75.68,0.64,10.13,382.55,6.15,37.3653,9.3763,54.6517
1015,Calhoun County,AL,1,40.64332556,5,0,0,0,0,0.035294118,0.032258065,0.026315789,0.023622047,0.022058824,0.019736842,0.018181818,0.117490019,127,3,113605,54914,59363,0.204501584,0.217694524,0.760425392,0.745717029,20,11,6.7,4.9,0.9,263.43,54.64,4.9,8.31,8.15,2.14,1.5,11.51,0.37,1.73,61.55,0.25,78.86,1.14,5.4,14.79,91.09,0.87,10.69,368.25,5.65,33.5801,8.24324,48.404
1017,Chambers County,AL,1,42.12681181,5,0,0.088888889,0.057142857,0.035242291,0.059259259,0.072413793,0.068627451,0.067901235,0.06969697,0.070588235,0.072423398,0.449475775,324,22,33254,16093,17522,0.38855403,0.410512499,0.577331759,0.564490355,22,13,5.5,4.7,1.1,177.6,84.51,14.43,10.55,7.81,3.94,2.35,8.65,0.35,3.5,31.09,0.19,74.48,1.42,6.19,16.01,91.9,0.67,10.73,326.33,5.23,32.6924,8.13108,50.2663
1019,Cherokee County,AL,1,44.62064819,5,0,0,0,0,0,0,0,0,0,0.060606061,0.078947368,0,24,0,26196,12896,13136,0.044354839,0.040880024,0.929202854,0.931333739,19,12,5.2,4.6,0.3,196.04,55.49,6.77,9.62,6.48,2.51,1.33,11.15,0.24,0.96,44.22,0.19,84.73,1.01,5.57,13.2,82.7,0.77,10.32,301.07,5.12,34.5001,8.46135,47.0732
